SampleDate,SampleTime,Turbidity,Latitude,Longitude
1/5/2015,8:45:00,12.5,38.81123,-77.23026
1/7/2015,13:02:00,21.1,38.93893,-76.94344
1/14/2015,11:00:00,10.8,38.81123,-77.23026
2/4/2015,9:13:00,11.3,38.93893,-76.94344
2/9/2015,10:10:00,6.2,38.69842,-76.98673
2/9/2015,11:45:00,18.4,38.70664,-77.04876
2/9/2015,11:45:00,17.3,38.70664,-77.04876
2/9/2015,11:45:00,16.1,38.70664,-77.04876
2/9/2015,11:27:00,22,38.69067,-77.11111
2/9/2015,11:27:00,21.2,38.69067,-77.11111
2/9/2015,11:27:00,18.5,38.69067,-77.11111
2/9/2015,10:55:00,38.5,38.6082,-77.1739
2/9/2015,10:55:00,33.4,38.6082,-77.1739
2/9/2015,10:55:00,30.3,38.6082,-77.1739
2/9/2015,11:58:00,11.8,38.69787,-77.02317
2/12/2015,11:15:00,2.9,38.81123,-77.23026
3/4/2015,12:30:00,28.9,38.93893,-76.94344
3/11/2015,11:15:00,45.5,38.81123,-77.23026
3/12/2015,10:30:00,16.9,38.81123,-77.23026
3/12/2015,9:19:00,14.4,38.69842,-76.98673
3/12/2015,12:28:00,32.2,38.70664,-77.04876
3/12/2015,12:28:00,33.8,38.70664,-77.04876
3/12/2015,12:28:00,33.8,38.70664,-77.04876
3/12/2015,12:07:00,28.9,38.69067,-77.11111
3/12/2015,12:07:00,29.1,38.69067,-77.11111
3/12/2015,12:07:00,28.4,38.69067,-77.11111
3/12/2015,11:38:00,28.8,38.6082,-77.1739
3/12/2015,11:38:00,27.8,38.6082,-77.1739
3/12/2015,11:38:00,27.7,38.6082,-77.1739
3/12/2015,12:40:00,34.6,38.69787,-77.02317
3/16/2015,11:30:00,20.8,38.69778,-77.12111
3/16/2015,9:35:00,20.3,38.6,-77.25692
3/16/2015,10:00:00,25.7,38.64028,-77.22222
3/16/2015,11:01:00,32,38.68028,-77.16917
4/1/2015,9:05:00,6.9,38.93893,-76.94344
4/6/2015,8:47:00,5.4,38.69842,-76.98673
4/6/2015,11:48:00,45.1,38.70664,-77.04876
4/6/2015,11:48:00,12.5,38.70664,-77.04876
4/6/2015,11:48:00,9.6,38.70664,-77.04876
4/6/2015,11:30:00,24.6,38.69067,-77.11111
4/6/2015,11:30:00,10,38.69067,-77.11111
4/6/2015,11:30:00,11.5,38.69067,-77.11111
4/6/2015,11:03:00,24,38.6082,-77.1739
4/6/2015,11:03:00,17.6,38.6082,-77.1739
4/6/2015,11:03:00,16.3,38.6082,-77.1739
4/6/2015,12:03:00,10.7,38.69787,-77.02317
4/6/2015,11:30:00,8.78,38.69778,-77.12111
4/6/2015,9:55:00,27.8,38.6,-77.25692
4/6/2015,10:22:00,36.5,38.64028,-77.22222
4/6/2015,11:00:00,21.2,38.68028,-77.16917
4/8/2015,9:45:00,39.3,38.81123,-77.23026
4/14/2015,12:31:00,74.5,38.81123,-77.23026
4/15/2015,10:15:00,15.8,38.81123,-77.23026
4/20/2015,9:45:00,153,38.81123,-77.23026
5/4/2015,11:22:00,8.09,38.69778,-77.12111
5/4/2015,9:30:00,14.5,38.6,-77.25692
5/4/2015,9:55:00,6.85,38.64028,-77.22222
5/4/2015,10:49:00,6.94,38.68028,-77.16917
5/4/2015,10:49:00,6.18,38.68028,-77.16917
5/13/2015,8:15:00,17.9,38.93893,-76.94344
5/13/2015,11:00:00,3.8,38.81123,-77.23026
5/18/2015,8:42:00,16.6,38.69842,-76.98673
5/18/2015,11:26:00,12.3,38.70664,-77.04876
5/18/2015,11:26:00,11.5,38.70664,-77.04876
5/18/2015,11:26:00,6.4,38.70664,-77.04876
5/18/2015,11:10:00,28,38.69067,-77.11111
5/18/2015,11:10:00,19.1,38.69067,-77.11111
5/18/2015,11:10:00,9.3,38.69067,-77.11111
5/18/2015,10:43:00,48.5,38.6082,-77.1739
5/18/2015,10:43:00,14.3,38.6082,-77.1739
5/18/2015,10:43:00,8.8,38.6082,-77.1739
5/18/2015,11:38:00,13.1,38.69787,-77.02317
6/9/2015,12:30:00,9.31,38.69778,-77.12111
6/9/2015,10:45:00,14.5,38.6,-77.25692
